id_estudiante,Artes,Biología,C-Sociales,Economía,Edu-Física,Español,Filosofía,Informática,Inglés,Matemáticas,Religión,Ing. de Sistemas Afines,Ing. Industria,Medicina,Enfermería,Derecho,Adm Empresas ,Psicología,Contaduría,Ing Ambiental,Ing Electrónica,Marketing Digital,Ing Mecánica ,Arquitectura,Educación(STEM),Economía-finanzas,Finanzas RelacionesInte,Ing Agronómica,Biología y Biotecnología ,Diseño Gráfico Industrial ,Turismo y Hospitalidad ,carrera_predominante,puntaje_carrera_predominante
1,1.24,3.26,1.7,1.68,3.28,4.26,4.98,4.13,4.2,3.24,3.58,3.4135,3.2515,3.2555000000000005,3.1045,3.1775,3.059,3.3275,2.894,3.209,3.401,3.1870000000000003,3.2785,3.0275,3.3305,2.9375,3.109,3.209,3.374,2.971,3.137,Ing. de Sistemas Afines_11_1,3.4135
2,1.89,3.32,1.12,4.61,2.78,1.51,4.45,2.37,1.92,3.05,4.6,2.732,2.6965,3.002,3.0210000000000004,2.5475,2.8330000000000006,2.6205000000000003,2.841,2.7575000000000003,2.7715000000000005,2.5605,2.8835,2.6055,2.632,2.7705000000000006,2.4275,2.7575000000000003,2.9375000000000004,2.5000000000000004,2.389,Enfermería_11_1,3.0210000000000004
3,2.46,3.99,1.56,1.19,4.67,4.87,1.23,3.49,4.42,4.1,2.25,3.3795,3.3305,3.2695000000000007,3.149,2.7255,2.8105,2.9475,2.8085,3.35,3.5285,3.0545,3.4135,3.217,3.4705,2.714,2.8635,3.35,3.3280000000000003,3.1100000000000003,2.947,Ing Electrónica_11_1,3.5285
4,4.6,1.41,3.83,4.9,1.41,2.59,2.1,3.23,2.34,3.82,2.16,3.2095,3.1610000000000005,2.8385,2.939,3.1710000000000003,3.454,2.9710000000000005,3.594,2.9495,3.018,3.353,3.1015,3.398,2.9865000000000004,3.484,3.273,2.9495,2.7425,3.528,3.25,Contaduría_11_1,3.594
5,2.27,1.43,4.3,3.71,3.56,2.63,1.9,1.92,4.93,4.33,4.47,3.1545,3.134,2.7805,2.7625,3.1095,3.3595,3.227,3.45,2.9645,2.986,3.301,3.0755,2.9715,3.02,3.4784999999999995,3.4485,2.9645,2.6995,2.893,3.262,Economía-finanzas_11_1,3.4784999999999995
6,3.14,3.31,4.21,4.61,2.51,2.34,3.13,4.19,1.11,2.74,3.46,3.1950000000000003,3.2135,3.2150000000000003,3.2550000000000003,3.4100000000000006,3.3640000000000008,3.1485000000000007,3.438,3.1980000000000004,3.1675000000000004,3.3145,3.1885000000000003,3.171500000000001,3.1485000000000007,3.365,3.2425000000000006,3.1980000000000004,3.1725000000000008,3.2355000000000005,3.1690000000000005,Contaduría_11_1,3.438
7,2.82,4.18,3.27,4.01,1.98,2.52,4.17,1.52,1.88,4.49,1.81,3.018,3.2705,3.4639999999999995,3.478999999999999,3.215,3.325,3.2205,3.317,3.388,3.29,2.9375,3.4145000000000003,3.0965000000000007,3.279000000000001,3.4125,3.1205,3.388,3.4175000000000004,2.880000000000001,2.9995000000000003,Enfermería_11_1,3.478999999999999
8,4.58,2.64,2.4,1.73,1.22,3.75,2.68,3.14,4.85,2.13,3.88,3.0460000000000003,2.9290000000000003,2.7725000000000004,2.8140000000000005,2.931,2.8285,3.073,2.781,2.9295,2.9305000000000003,3.0580000000000003,2.8600000000000003,3.2575000000000003,2.9745,2.7915,3.0315000000000003,2.9295,2.969,3.405,3.2215000000000003,Diseño Gráfico Industrial _11_1,3.405
9,1.64,1.85,3.48,1.36,3.38,3.78,1.16,3.93,4.18,2.29,3.8,2.8915,2.745000000000001,2.4090000000000003,2.3020000000000005,2.8004999999999995,2.617,2.8055000000000003,2.627,2.6190000000000007,2.7175,2.9785000000000004,2.5890000000000004,2.6100000000000003,2.7695000000000003,2.5945000000000005,2.9235,2.6190000000000007,2.4810000000000003,2.6815000000000007,2.906,Marketing Digital_11_1,2.9785000000000004
10,1.88,4.19,3.21,3.52,1.63,2.13,1.16,2.57,2.64,3.69,2.89,2.9665,3.0540000000000007,2.9765000000000006,2.9640000000000004,2.6219999999999994,2.8925000000000005,2.7305,3.0105,3.1600000000000006,3.1335,2.8629999999999995,3.181,2.7815000000000003,3.0875,2.9245000000000005,2.809,3.1600000000000006,3.0825000000000005,2.6100000000000003,2.6645,Ing Mecánica _11_1,3.181
